,ICAO,Name,Altitude ,Latitude,Longitude,,,,,,,,,,,,,,,,,,
0,LECO,A Coruna Airport,326,43.302059,-8.37725,,,,,,,,,,,,,,LECO,A Coruna Airport,326,43.302059,-8.37725
1,EDKA,Aachen Merzbruck Airport,626,50.821899,6.184759,,,,,,,,,,,,,,EDKA,Aachen Merzbruck Airport,626,50.821899,6.184759
2,EKYT,Aalborg Airport,3,57.095112,9.855172,,,,,,,,,,,,,,EKYT,Aalborg Airport,3,57.095112,9.855172
3,EKAH,Aarhus Airport,71,56.303295,10.619129,,,,,,,,,,,,,,EKAH,Aarhus Airport,71,56.303295,10.619129
4,EKAC,Aarhus Sea Airport,1,56.151993,10.247725,,,,,,,,,,,,,,EKAC,Aarhus Sea Airport,1,56.151993,10.247725
5,BGAA,Aasiaat Airport,74,68.72184,-52.784698,,,,,,,,,,,,,,BGAA,Aasiaat Airport,74,68.72184,-52.784698
6,OIAA,Abadan Airport,19,30.371111,48.228329,,,,,,,,,,,,,,OIAA,Abadan Airport,19,30.371111,48.228329
7,UNAA,Abakan International Airport,831,53.740002,91.385002,,,,,,,,,,,,,,UNAA,Abakan International Airport,831,53.740002,91.385002
8,CYXX,Abbotsford International Airport,195,49.025269,-122.360001,,,,,,,,,,,,,,CYXX,Abbotsford International Airport,195,49.025269,-122.360001
9,NGTB,Abemama Airport,8,0.490833,173.828598,,,,,,,,,,,,,,NGTB,Abemama Airport,8,0.490833,173.828598
10,EGPD,Aberdeen International Airport,215,57.201939,-2.19777,,,,,,,,,,,,,,EGPD,Aberdeen International Airport,215,57.201939,-2.19777
11,KABR,Aberdeen Regional Airport,1302,45.439999,-98.419998,,,,,,,,,,,,,,KABR,Aberdeen Regional Airport,1302,45.439999,-98.419998
12,OEAB,Abha Regional Airport,6858,18.24036,42.65662,,,,,,,,,,,,,,OEAB,Abha Regional Airport,6858,18.24036,42.65662
13,DIAP,Abidjan Port Bouet Airport,21,5.261386,-3.92629,,,,,,,,,,,,,,DIAP,Abidjan Port Bouet Airport,21,5.261386,-3.92629
14,KABI,Abilene Regional Airport,1790,32.411301,-99.681801,,,,,,,,,,,,,,KABI,Abilene Regional Airport,1790,32.411301,-99.681801
15,KVJI,Abingdon Virginia Highlands Airport,2088,36.686111,-82.033333,,,,,,,,,,,,,,KVJI,Abingdon Virginia Highlands Airport,2088,36.686111,-82.033333
16,OMAD,Abu Dhabi Al Bateen Executive Airport,16,24.428329,54.45808,,,,,,,,,,,,,,OMAD,Abu Dhabi Al Bateen Executive Airport,16,24.428329,54.45808
17,OMAM,Abu Dhabi Al Dhafra Air Base,77,24.248199,54.547699,,,,,,,,,,,,,,OMAM,Abu Dhabi Al Dhafra Air Base,77,24.248199,54.547699
18,OMAA,Abu Dhabi International Airport,88,24.43297,54.651131,,,,,,,,,,,,,,OMAA,Abu Dhabi International Airport,88,24.43297,54.651131
19,OIBA,Abu Musa Island Airport,23,25.8757,55.033001,,,,,,,,,,,,,,OIBA,Abu Musa Island Airport,23,25.8757,55.033001
20,HEBL,Abu Simbel Airport,616,22.37595,31.611719,,,,,,,,,,,,,,HEBL,Abu Simbel Airport,616,22.37595,31.611719
